Request id,Pickup point,Driver id,Status,Request Date,Request Time,Request Day,Request Hour,Request Time Slot,Drop Date,Drop Time,Drop Day,Drop Hour,Drop Time Slot
619,Airport,1,Trip Completed,11-Jul-16,11:51:00,Monday,11,Morning,11-Jul-16,13:00:00,Monday,13,Afternoon
867,Airport,1,Trip Completed,11-Jul-16,17:57:00,Monday,17,Evening,11-Jul-16,18:47:00,Monday,18,Evening
1807,City,1,Trip Completed,12-Jul-16,09:17:00,Tuesday,9,Morning,12-Jul-16,09:58:00,Tuesday,9,Morning
2532,Airport,1,Trip Completed,12-Jul-16,21:08:00,Tuesday,21,Night,12-Jul-16,22:03:00,Tuesday,22,Night
3112,City,1,Trip Completed,13-Jul-16,08:33:16,Wednesday,8,Morning,13-Jul-16,09:25:47,Wednesday,9,Morning
3879,Airport,1,Trip Completed,13-Jul-16,21:57:28,Wednesday,21,Night,13-Jul-16,22:28:59,Wednesday,22,Night
4270,Airport,1,Trip Completed,14-Jul-16,06:15:32,Thursday,6,Early Morning,14-Jul-16,07:13:15,Thursday,7,Early Morning
5510,Airport,1,Trip Completed,15-Jul-16,05:11:52,Friday,5,Early Morning,15-Jul-16,06:07:52,Friday,6,Early Morning
6248,City,1,Trip Completed,15-Jul-16,17:57:27,Friday,17,Evening,15-Jul-16,18:50:51,Friday,18,Evening
267,City,2,Trip Completed,11-Jul-16,06:46:00,Monday,6,Early Morning,11-Jul-16,07:25:00,Monday,7,Early Morning
1467,Airport,2,Trip Completed,12-Jul-16,05:08:00,Tuesday,5,Early Morning,12-Jul-16,06:02:00,Tuesday,6,Early Morning
1983,City,2,Trip Completed,12-Jul-16,12:30:00,Tuesday,12,Afternoon,12-Jul-16,12:57:00,Tuesday,12,Afternoon
2784,Airport,2,Trip Completed,13-Jul-16,04:49:20,Wednesday,4,Early Morning,13-Jul-16,05:23:03,Wednesday,5,Early Morning
3075,City,2,Trip Completed,13-Jul-16,08:02:53,Wednesday,8,Morning,13-Jul-16,09:16:19,Wednesday,9,Morning
3379,City,2,Trip Completed,13-Jul-16,14:23:02,Wednesday,14,Afternoon,13-Jul-16,15:35:18,Wednesday,15,Afternoon
3482,Airport,2,Trip Completed,13-Jul-16,17:23:18,Wednesday,17,Evening,13-Jul-16,18:20:51,Wednesday,18,Evening
4652,City,2,Trip Completed,14-Jul-16,12:01:02,Thursday,12,Afternoon,14-Jul-16,12:36:46,Thursday,12,Afternoon
5335,Airport,2,Trip Completed,14-Jul-16,22:24:13,Thursday,22,Night,14-Jul-16,23:18:52,Thursday,23,Night
535,Airport,3,Trip Completed,11-Jul-16,10:00:00,Monday,10,Morning,11-Jul-16,10:31:00,Monday,10,Morning
960,Airport,3,Trip Completed,11-Jul-16,18:45:00,Monday,18,Evening,11-Jul-16,19:23:00,Monday,19,Evening
